departamento;x;y
Amazonas;640;480
Antioquia;285;300
Arauca;292;480
Atlantico;110;316
Bolivar;220;350
Boyaca;340;390
Caldas;345;300
Caqueta;550;350
Casanare;340;465
Cauca;470;230
Cesar;145;380
Choco;340;230
Cordoba;220;280
Cundinamarca;360;340
Distrito Capital de Bogota;385;350
Guainia;470;580
Guaviare;500;440
Huila;460;290
La Guajira;80;420
Magdalena;140;340
Meta;430;400
Narinho;510;180
Norte de Santander;220;405
Putumayo;560;280
Quindio;385;282
Risaralda;352;267
San Andres, Providencia y Santa Catalina;90;203
Santander;285;380
Sucre;198;317
Tolima;400;300
Valle del Cauca;425;235
Vaupes;550;500
Vichada;370;560
